transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
03/28/2025 10:00:00 PM,subway,64,71 St (D),Brooklyn,omny,OMNY - Other,1,0,40.61959,-73.99886,POINT (-73.99886 40.61959)
03/28/2025 11:00:00 PM,subway,309,103 St (1),Manhattan,omny,OMNY - Full Fare,36,0,40.799446,-73.968376,POINT (-73.968376 40.799446)
03/28/2025 06:00:00 AM,subway,64,71 St (D),Brooklyn,omny,OMNY - Students,32,0,40.61959,-73.99886,POINT (-73.99886 40.61959)
03/28/2025 07:00:00 AM,subway,420,"219 St (2,5)",Bronx,omny,OMNY - Fair Fare,2,0,40.883896,-73.86263,POINT (-73.86263 40.883896)
03/28/2025 08:00:00 AM,subway,298,207 St (1),Manhattan,omny,OMNY - Full Fare,157,40,40.86462,-73.91882,POINT (-73.91882 40.86462)
03/28/2025 08:00:00 AM,subway,37,77 St (R),Brooklyn,omny,OMNY - Other,3,1,40.62974,-74.02551,POINT (-74.02551 40.62974)
03/28/2025 10:00:00 AM,subway,129,Halsey St (L),Queens,omny,OMNY - Students,17,0,40.695602,-73.90408,POINT (-73.90408 40.695602)
03/28/2025 12:00:00 PM,subway,14,"23 St (R,W)",Manhattan,omny,OMNY - Fair Fare,1,0,40.741302,-73.98934,POINT (-73.98934 40.741302)
03/28/2025 12:00:00 PM,subway,35,"59 St (N,R)",Brooklyn,omny,OMNY - Other,5,0,40.64136,-74.01788,POINT (-74.01788 40.64136)
03/28/2025 01:00:00 PM,subway,68,Bay Pkwy (D),Brooklyn,omny,OMNY - Students,37,3,40.601875,-73.99373,POINT (-73.99373 40.601875)
03/28/2025 02:00:00 PM,subway,218,"167 St (B,D)",Bronx,omny,OMNY - Other,3,0,40.83377,-73.91844,POINT (-73.91844 40.83377)
03/28/2025 02:00:00 PM,subway,224,57 St (F),Manhattan,omny,OMNY - Students,13,2,40.763973,-73.97745,POINT (-73.97745 40.763973)
03/28/2025 02:00:00 PM,subway,270,"46 St (M,R)",Queens,omny,OMNY - Students,99,2,40.756313,-73.91333,POINT (-73.91333 40.756313)
03/28/2025 02:00:00 PM,subway,38,86 St (R),Brooklyn,omny,OMNY - Full Fare,207,36,40.62269,-74.0284,POINT (-74.0284 40.62269)
03/28/2025 05:00:00 PM,subway,125,Morgan Av (L),Brooklyn,omny,OMNY - Full Fare,438,4,40.706154,-73.93314,POINT (-73.93314 40.706154)
03/28/2025 05:00:00 PM,subway,271,"Steinway St (M,R)",Queens,omny,OMNY - Other,4,0,40.756878,-73.92074,POINT (-73.92074 40.756878)
03/28/2025 05:00:00 PM,subway,426,"E 180 St (2,5)",Bronx,omny,OMNY - Other,4,0,40.841892,-73.87349,POINT (-73.87349 40.841892)
03/28/2025 05:00:00 PM,subway,64,71 St (D),Brooklyn,omny,OMNY - Fair Fare,1,0,40.61959,-73.99886,POINT (-73.99886 40.61959)
03/28/2025 08:00:00 PM,subway,440,"116 St (2,3)",Manhattan,omny,OMNY - Other,3,0,40.802097,-73.94962,POINT (-73.94962 40.802097)
03/28/2025 10:00:00 PM,subway,378,Woodlawn (4),Bronx,omny,OMNY - Fair Fare,1,1,40.886036,-73.87875,POINT (-73.87875 40.886036)
03/28/2025 10:00:00 PM,subway,438,"135 St (2,3)",Manhattan,omny,OMNY - Students,10,0,40.814228,-73.94077,POINT (-73.94077 40.814228)
03/28/2025 11:00:00 PM,subway,10,"49 St (N,R,W)",Manhattan,omny,OMNY - Other,8,0,40.7599,-73.98414,POINT (-73.98414 40.7599)
03/28/2025 01:00:00 AM,subway,129,Halsey St (L),Queens,metrocard,Metrocard - Other,1,0,40.695602,-73.90408,POINT (-73.90408 40.695602)
03/28/2025 01:00:00 AM,subway,277,"7 Av (E,B,D)",Manhattan,omny,OMNY - Full Fare,43,0,40.762863,-73.981636,POINT (-73.981636 40.762863)
